product_key,product_name_cn,product_name_en,category,cost_price_cny,weight_kg,package_size,material,certification,moq,keywords,description
P001,宠物凉感垫,Pet Cooling Mat,Pet Home,18.50,0.450,40x30x3cm,Cooling fabric and gel foam,OEKO-TEX,200,pet cooling mat;dog cooling pad;summer pet bed,Washable cooling mat for cats and small dogs from Nantong textile supply chain
P002,波西米亚风毛毯,Boho Throw Blanket,Home Textile,42.00,0.900,35x28x12cm,Acrylic cotton blend,OEKO-TEX,120,boho blanket;throw blanket;boho bedroom,Soft bohemian style throw blanket for sofa bedroom and gift sets
P003,四件套,Cotton Bedding Set,Home Textile,86.00,1.800,38x30x10cm,100 percent cotton,OEKO-TEX,100,cotton bedding set;duvet cover set;bed sheet set,All season four piece bedding set with export friendly neutral colors
P004,儿童枕套,Kids Pillowcase,Home Textile,9.80,0.120,22x16x2cm,Cotton microfiber blend,CPSIA,300,kids pillowcase;children bedding;soft pillow cover,Colorfast pillowcase sized for children with soft touch and easy washing
P005,夏凉被,Cooling Summer Quilt,Home Textile,58.00,1.200,36x28x9cm,Cooling nylon and polyester,OEKO-TEX,150,cooling quilt;summer bedding;lightweight comforter,Lightweight summer quilt for humid markets with breathable fabric
P006,沙发毯,Sofa Throw Blanket,Home Decor,38.00,0.820,34x26x9cm,Flannel fleece,OEKO-TEX,120,sofa throw;flannel blanket;living room decor,Cozy sofa throw blanket for living room styling and winter promotions
P007,浴巾,Bath Towel,Home Textile,16.80,0.350,30x22x6cm,Long staple cotton,OEKO-TEX,240,bath towel;cotton towel;quick dry towel,Absorbent towel with hotel style border for cross border home stores
P008,防螨枕套,Anti Mite Pillowcase,Home Textile,12.50,0.160,24x18x3cm,Microfiber anti mite fabric,OEKO-TEX,260,anti mite pillowcase;allergy bedding;pillow protector,Anti mite pillowcase for allergy aware shoppers and family bedding bundles
P009,宿舍床品套装,Dorm Room Bedding Set,Home Textile,75.00,1.650,40x32x12cm,Poly cotton microfiber,OEKO-TEX,100,dorm room bedding;college bedding;twin xl bedding,Compact bedding set for student dorm rooms and back to school campaigns
P010,婴儿包被,Baby Swaddle Blanket,Baby Home Textile,22.00,0.280,28x20x5cm,Cotton muslin,CPSIA,180,baby swaddle;infant blanket;muslin wrap,Soft muslin baby wrap with gentle colors for newborn gift scenarios
