platform,country,keyword,title,price,currency,rating,review_count,product_url,image_url,collected_at
Etsy Sample,US,pet cooling mat,Synthetic fallback washable pet cooling mat - US etsy sample,23.48,USD,4.80,72,https://sample.example/etsy/us/pet-cooling-mat/c001,https://sample.example/images/etsy/us/pet-cooling-mat/c001.jpg,2026-04-01T08:00:00+00:00
Etsy Sample,US,boho blanket,Synthetic fallback boho woven throw blanket - US etsy sample,40.71,USD,4.70,109,https://sample.example/etsy/us/boho-blanket/c002,https://sample.example/images/etsy/us/boho-blanket/c002.jpg,2026-04-01T08:05:00+00:00
Etsy Sample,US,duvet cover,Synthetic fallback soft cotton duvet cover - US etsy sample,58.88,USD,4.60,146,https://sample.example/etsy/us/duvet-cover/c003,https://sample.example/images/etsy/us/duvet-cover/c003.jpg,2026-04-01T08:10:00+00:00
Etsy Sample,US,kids pillowcase,Synthetic fallback printed kids pillowcase pair - US etsy sample,15.93,USD,4.50,183,https://sample.example/etsy/us/kids-pillowcase/c004,https://sample.example/images/etsy/us/kids-pillowcase/c004.jpg,2026-04-01T08:15:00+00:00
Etsy Sample,US,summer quilt,Synthetic fallback lightweight summer quilt - US etsy sample,47.08,USD,4.40,220,https://sample.example/etsy/us/summer-quilt/c005,https://sample.example/images/etsy/us/summer-quilt/c005.jpg,2026-04-01T08:20:00+00:00
Etsy Sample,US,sofa throw blanket,Synthetic fallback sofa throw blanket with fringe - US etsy sample,35.28,USD,4.30,257,https://sample.example/etsy/us/sofa-throw-blanket/c006,https://sample.example/images/etsy/us/sofa-throw-blanket/c006.jpg,2026-04-01T08:25:00+00:00
Etsy Sample,US,bath towel,Synthetic fallback quick dry cotton bath towel - US etsy sample,19.94,USD,4.20,294,https://sample.example/etsy/us/bath-towel/c007,https://sample.example/images/etsy/us/bath-towel/c007.jpg,2026-04-01T08:30:00+00:00
Etsy Sample,US,anti mite pillowcase,Synthetic fallback anti mite pillowcase set - US etsy sample,18.76,USD,4.10,331,https://sample.example/etsy/us/anti-mite-pillowcase/c008,https://sample.example/images/etsy/us/anti-mite-pillowcase/c008.jpg,2026-04-01T08:35:00+00:00
Etsy Sample,US,dorm room bedding,Synthetic fallback compact dorm room bedding set - US etsy sample,70.68,USD,4.80,368,https://sample.example/etsy/us/dorm-room-bedding/c009,https://sample.example/images/etsy/us/dorm-room-bedding/c009.jpg,2026-04-01T08:40:00+00:00
Etsy Sample,US,baby swaddle blanket,Synthetic fallback breathable baby swaddle blanket - US etsy sample,21.83,USD,4.70,405,https://sample.example/etsy/us/baby-swaddle-blanket/c010,https://sample.example/images/etsy/us/baby-swaddle-blanket/c010.jpg,2026-04-01T08:45:00+00:00
Etsy Sample,GB,pet cooling mat,Synthetic fallback washable pet cooling mat - GB etsy sample,18.79,GBP,4.60,442,https://sample.example/etsy/gb/pet-cooling-mat/c011,https://sample.example/images/etsy/gb/pet-cooling-mat/c011.jpg,2026-04-01T08:50:00+00:00
Etsy Sample,GB,boho blanket,Synthetic fallback boho woven throw blanket - GB etsy sample,32.57,GBP,4.50,479,https://sample.example/etsy/gb/boho-blanket/c012,https://sample.example/images/etsy/gb/boho-blanket/c012.jpg,2026-04-01T08:55:00+00:00
Etsy Sample,GB,duvet cover,Synthetic fallback soft cotton duvet cover - GB etsy sample,47.11,GBP,4.40,516,https://sample.example/etsy/gb/duvet-cover/c013,https://sample.example/images/etsy/gb/duvet-cover/c013.jpg,2026-04-01T09:00:00+00:00
Etsy Sample,GB,kids pillowcase,Synthetic fallback printed kids pillowcase pair - GB etsy sample,12.74,GBP,4.30,553,https://sample.example/etsy/gb/kids-pillowcase/c014,https://sample.example/images/etsy/gb/kids-pillowcase/c014.jpg,2026-04-01T09:05:00+00:00
Etsy Sample,GB,summer quilt,Synthetic fallback lightweight summer quilt - GB etsy sample,37.67,GBP,4.20,590,https://sample.example/etsy/gb/summer-quilt/c015,https://sample.example/images/etsy/gb/summer-quilt/c015.jpg,2026-04-01T09:10:00+00:00
Etsy Sample,GB,sofa throw blanket,Synthetic fallback sofa throw blanket with fringe - GB etsy sample,28.23,GBP,4.10,627,https://sample.example/etsy/gb/sofa-throw-blanket/c016,https://sample.example/images/etsy/gb/sofa-throw-blanket/c016.jpg,2026-04-01T09:15:00+00:00
Etsy Sample,GB,bath towel,Synthetic fallback quick dry cotton bath towel - GB etsy sample,15.95,GBP,4.80,664,https://sample.example/etsy/gb/bath-towel/c017,https://sample.example/images/etsy/gb/bath-towel/c017.jpg,2026-04-01T09:20:00+00:00
Etsy Sample,GB,anti mite pillowcase,Synthetic fallback anti mite pillowcase set - GB etsy sample,15.01,GBP,4.70,701,https://sample.example/etsy/gb/anti-mite-pillowcase/c018,https://sample.example/images/etsy/gb/anti-mite-pillowcase/c018.jpg,2026-04-01T09:25:00+00:00
Etsy Sample,GB,dorm room bedding,Synthetic fallback compact dorm room bedding set - GB etsy sample,56.55,GBP,4.60,738,https://sample.example/etsy/gb/dorm-room-bedding/c019,https://sample.example/images/etsy/gb/dorm-room-bedding/c019.jpg,2026-04-01T09:30:00+00:00
Etsy Sample,GB,baby swaddle blanket,Synthetic fallback breathable baby swaddle blanket - GB etsy sample,17.46,GBP,4.50,775,https://sample.example/etsy/gb/baby-swaddle-blanket/c020,https://sample.example/images/etsy/gb/baby-swaddle-blanket/c020.jpg,2026-04-01T09:35:00+00:00
Etsy Sample,JP,pet cooling mat,Synthetic fallback washable pet cooling mat - JP etsy sample,3520,JPY,4.40,812,https://sample.example/etsy/jp/pet-cooling-mat/c021,https://sample.example/images/etsy/jp/pet-cooling-mat/c021.jpg,2026-04-01T09:40:00+00:00
Etsy Sample,JP,boho blanket,Synthetic fallback boho woven throw blanket - JP etsy sample,6110,JPY,4.30,849,https://sample.example/etsy/jp/boho-blanket/c022,https://sample.example/images/etsy/jp/boho-blanket/c022.jpg,2026-04-01T09:45:00+00:00
Etsy Sample,JP,duvet cover,Synthetic fallback soft cotton duvet cover - JP etsy sample,8830,JPY,4.20,886,https://sample.example/etsy/jp/duvet-cover/c023,https://sample.example/images/etsy/jp/duvet-cover/c023.jpg,2026-04-01T09:50:00+00:00
Etsy Sample,JP,kids pillowcase,Synthetic fallback printed kids pillowcase pair - JP etsy sample,2390,JPY,4.10,43,https://sample.example/etsy/jp/kids-pillowcase/c024,https://sample.example/images/etsy/jp/kids-pillowcase/c024.jpg,2026-04-01T09:55:00+00:00
Etsy Sample,JP,summer quilt,Synthetic fallback lightweight summer quilt - JP etsy sample,7060,JPY,4.80,80,https://sample.example/etsy/jp/summer-quilt/c025,https://sample.example/images/etsy/jp/summer-quilt/c025.jpg,2026-04-01T10:00:00+00:00
Etsy Sample,JP,sofa throw blanket,Synthetic fallback sofa throw blanket with fringe - JP etsy sample,5290,JPY,4.70,117,https://sample.example/etsy/jp/sofa-throw-blanket/c026,https://sample.example/images/etsy/jp/sofa-throw-blanket/c026.jpg,2026-04-01T10:05:00+00:00
Etsy Sample,JP,bath towel,Synthetic fallback quick dry cotton bath towel - JP etsy sample,2990,JPY,4.60,154,https://sample.example/etsy/jp/bath-towel/c027,https://sample.example/images/etsy/jp/bath-towel/c027.jpg,2026-04-01T10:10:00+00:00
