country_code,name_cn,name_en,region_code,region_name_cn,region_name_en,continent,currency_code,languages,default_sort_order,enabled,analysis_enabled,disabled_reason,provider_mappings,fallback_enabled,notes
JP,日本,Japan,ASIA_EAST,东亚,East Asia,Asia,JPY,Japanese,1,true,true,,"{""worldbank"":""JP"",""gdelt"":""japan"",""un_comtrade"":""JPN""}",true,Quality sensitive mature market with strong home goods demand
KR,韩国,South Korea,ASIA_EAST,东亚,East Asia,Asia,KRW,Korean,2,true,true,,"{""worldbank"":""KR"",""gdelt"":""southkorea"",""un_comtrade"":""KOR""}",true,Digital commerce market with high internet penetration
SG,新加坡,Singapore,ASIA_SOUTHEAST,东南亚,Southeast Asia,Asia,SGD,English;Malay;Chinese;Tamil,3,true,true,,"{""worldbank"":""SG"",""gdelt"":""singapore"",""un_comtrade"":""SGP""}",true,Compact high income market and ASEAN logistics hub
MY,马来西亚,Malaysia,ASIA_SOUTHEAST,东南亚,Southeast Asia,Asia,MYR,Malay;English;Chinese,4,true,true,,"{""worldbank"":""MY"",""gdelt"":""malaysia"",""un_comtrade"":""MYS""}",true,ASEAN growth market with Belt and Road relevance
AE,阿联酋,United Arab Emirates,MIDDLE_EAST,中东,Middle East,Asia,AED,Arabic;English,5,true,true,,"{""worldbank"":""AE"",""gdelt"":""unitedarabemirates"",""un_comtrade"":""ARE""}",true,Gulf re export hub with premium retail demand
GB,英国,United Kingdom,EUROPE_WEST,西欧,Western Europe,Europe,GBP,English,6,true,true,,"{""worldbank"":""GB"",""gdelt"":""unitedkingdom"",""un_comtrade"":""GBR""}",true,Mature e commerce market with strong competition
DE,德国,Germany,EUROPE_WEST,西欧,Western Europe,Europe,EUR,German,7,true,true,,"{""worldbank"":""DE"",""gdelt"":""germany"",""un_comtrade"":""DEU""}",true,Large EU market with high quality and compliance expectations
FR,法国,France,EUROPE_WEST,西欧,Western Europe,Europe,EUR,French,8,true,true,,"{""worldbank"":""FR"",""gdelt"":""france"",""un_comtrade"":""FRA""}",true,Mature consumer market with design and lifestyle demand
NL,荷兰,Netherlands,EUROPE_WEST,西欧,Western Europe,Europe,EUR,Dutch;English,9,true,true,,"{""worldbank"":""NL"",""gdelt"":""netherlands"",""un_comtrade"":""NLD""}",true,EU logistics gateway with high online shopping penetration
IT,意大利,Italy,EUROPE_WEST,西欧,Western Europe,Europe,EUR,Italian,10,true,true,,"{""worldbank"":""IT"",""gdelt"":""italy"",""un_comtrade"":""ITA""}",true,Design driven market with high competition in home categories
US,美国,United States,NORTH_AMERICA,北美,North America,North America,USD,English,11,true,true,,"{""worldbank"":""US"",""gdelt"":""unitedstates"",""un_comtrade"":""USA""}",true,Large market with strong marketplace competition
CA,加拿大,Canada,NORTH_AMERICA,北美,North America,North America,CAD,English;French,12,true,true,,"{""worldbank"":""CA"",""gdelt"":""canada"",""un_comtrade"":""CAN""}",true,Mature North American market with cross border logistics links
MX,墨西哥,Mexico,NORTH_AMERICA,北美,North America,North America,MXN,Spanish,13,true,true,,"{""worldbank"":""MX"",""gdelt"":""mexico"",""un_comtrade"":""MEX""}",true,Growing nearshore market with price sensitive demand
BR,巴西,Brazil,LATAM,拉美,Latin America,South America,BRL,Portuguese,14,true,true,,"{""worldbank"":""BR"",""gdelt"":""brazil"",""un_comtrade"":""BRA""}",true,Large Latin American market with logistics and tax complexity
CL,智利,Chile,LATAM,拉美,Latin America,South America,CLP,Spanish,15,true,true,,"{""worldbank"":""CL"",""gdelt"":""chile"",""un_comtrade"":""CHL""}",true,Open trade market with stable e commerce adoption
AU,澳大利亚,Australia,OCEANIA,大洋洲,Oceania,Oceania,AUD,English,16,true,true,,"{""worldbank"":""AU"",""gdelt"":""australia"",""un_comtrade"":""AUS""}",true,High income seasonal market with long distance logistics
NZ,新西兰,New Zealand,OCEANIA,大洋洲,Oceania,Oceania,NZD,English;Maori,17,true,true,,"{""worldbank"":""NZ"",""gdelt"":""newzealand"",""un_comtrade"":""NZL""}",true,Small high income market often reached through AU logistics
ZA,南非,South Africa,AFRICA,非洲,Africa,Africa,ZAR,English;Zulu;Afrikaans,18,true,true,,"{""worldbank"":""ZA"",""gdelt"":""southafrica"",""un_comtrade"":""ZAF""}",true,African gateway market with mixed income segments
EG,埃及,Egypt,AFRICA,非洲,Africa,Africa,EGP,Arabic;English,19,true,true,,"{""worldbank"":""EG"",""gdelt"":""egypt"",""un_comtrade"":""EGY""}",true,Large population market with Belt and Road logistics relevance
